climbRate,Sgz,X,q,cur1itch,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SeTime1,SeTime2,SeTime3,SeTime4,SeTime5,SeTime6,SeTime7,SeTime8,SeTime9,SeTime10,SeTime11,SeTime12,SeTime13,SeTime14,diffSeTime1,diffSeTime2,diffSeTime3,diffSeTime4,diffSeTime5,diffSeTime6,diffSeTime7,diffSeTime8,diffSeTime9,diffSeTime10,diffSeTime11,diffSeTime12,diffSeTime13,diffSeTime14,alpha,Sen,Label
2,-56,-0.33,-0.09,0.9,0.2,-11,12,0.004,-0.1,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.032,1
470,-39,0.02,0.12,0.39,-0.6,-12,8,0.009,-1.6,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.034,1
165,4,0.14,0.14,0.78,0.4,-11,-9,-0.003,-0.2,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.034,1
-113,5,-0.12,0.11,1.06,0.6,-10,-7,-0.008,0,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.033,1
-411,-21,-0.17,0.07,1.33,-0.6,-11,0,0.002,0.1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.032,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,0,0.9,0.032,0
-105,-42,0.23,-0.06,0.92,-0.6,-12,10,0.011,0,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.028,1
144,-40,0.31,-0.01,0.67,0.6,-10,5,-0.005,-0.2,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.029,1
249,-11,-0.38,0.06,0.56,0.4,-11,-2,-0.008,-0.1,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.029,1
229,-4,-0.45,0.05,0.58,-0.4,-11,-2,0.002,0.3,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.029,1
-60,14,0.22,0.15,0.89,-1.6,-13,-8,0.01,-0.2,0.029,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.03,1
-206,8,0.35,0.12,1.02,-0.9,-12,-4,0.001,-0.5,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.029,1
-261,-28,-0.09,0.02,1.02,0.4,-11,3,-0.008,-0.1,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.027,1
-145,-46,-0.23,0.04,0.89,-0.7,-12,2,-0.001,-0.1,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.026,1
-27,-55,0.2,0.06,0.76,-0.9,-12,-1,0.004,-0.2,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.026,0
-42,-57,0.3,0.07,0.77,-0.3,-11,-2,0.004,-0.2,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.026,1
-61,-58,0.34,0.07,0.79,0.2,-11,-3,0.002,-0.2,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.026,1
-73,-59,0.33,0.08,0.81,0.4,-11,-4,-0.003,-0.3,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.026,1
-22,-72,-0.32,0,0.71,0.6,-10,4,-0.009,-0.1,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.024,1
