SAFE165,SAFE4,SAFE90,SAFE11,SAFE10,SAFE1,SAFE23,SAFE7,SAFE5,SAFE30,SAFE9,SAFE15,SAFE33,SAFE2,SAFE89,SAFE13,SAFE17,SAFE3,SAFE134,SAFE141,SAFE29,SAFE16,SAFE27,SAFE19,SAFE21,SAFE24,SAFE14,SAFE64,SAFE44,SAFE12,SAFE100,SAFE38,SAFE86,SAFE35,SAFE101,SAFE102,SAFE103,SAFE104,SAFE105,SAFE106,SAFE107,SAFE108,SAFE109,SAFE110,SAFE111,SAFE112,SAFE113,SAFE114,SAFE115,SAFE116,SAFE117,SAFE118,SAFE119,SAFE120,SAFE121,SAFE122,SAFE123,SAFE124,SAFE125,SAFE126,SAFE127,SAFE128,SAFE129,SAFE130,SAFE131,SAFE132,SAFE133,SAFE135,SAFE136,SAFE137,SAFE138,SAFE139,SAFE140,SAFE142,SAFE143,SAFE144,SAFE145,SAFE146,SAFE147,SAFE148,SAFE149,SAFE150,SAFE151,SAFE152,SAFE153,SAFE154,SAFE155,SAFE156,SAFE157,SAFE158,SAFE160,SAFE161,SAFE162,SAFE163,SAFE164,SAFE166,SAFE167,SAFE168,SAFE18,SAFE20,SAFE22,SAFE25,SAFE26,SAFE28,SAFE31,SAFE32,SAFE34,SAFE36,SAFE37,SAFE39,SAFE40,SAFE41,SAFE42,SAFE43,SAFE45,SAFE46,SAFE47,SAFE48,SAFE49,SAFE50,SAFE51,SAFE52,SAFE53,SAFE54,SAFE55,SAFE56,SAFE57,SAFE58,SAFE59,SAFE6,SAFE60,SAFE61,SAFE62,SAFE63,SAFE65,SAFE66,SAFE67,SAFE68,SAFE69,SAFE70,SAFE71,SAFE72,SAFE73,SAFE74,SAFE75,SAFE76,SAFE77,SAFE78,SAFE79,SAFE8,SAFE80,SAFE81,SAFE82,SAFE83,SAFE84,SAFE85,SAFE87,SAFE88,SAFE91,SAFE92,SAFE93,SAFE94,SAFE95,SAFE96,SAFE97,SAFE98,SAFE99,COM1ACT0ESS,CIRCULARITY,DISTA0CE CIRCULARITY,RADIUS RATIO,1R.AXIS AS1ECT RATIO,MAX.LE0GTH AS1ECT RATIO,SCATTER RATIO,ELO0GATED0ESS,1R.AXIS RECTA0GULARITY,MAX.LE0GTH RECTA0GULARITY,SCALED VARIA0CE_MAJOR,SCALED VARIA0CE_MI0OR,SCALED RADIUS OF GYRATIO0,SKEW0ESS ABOUT_MAJOR,SKEW0ESS ABOUT_MI0OR,KURTOSIS ABOUT_MAJOR,KURTOSIS ABOUT_MI0OR,HOLLOWS RATIO,Label
229480875,426,28,73,-126,355,71,70,31,4,1197,-59,897,1176825,66,181,497,66385,30246,501327450,130,140,2485,133,56889,168,24,187085,69,37044,196,-1057,644,1092335,182,11,-284,31,17,19,1749,563598,923,211722,3808,1162,3287655,-1449,-166698,1264,-1382,-78057,1396,-1250,1456,-1190,175959,1366,1280,1295,1518,-1128,257985,1623,-771,509922,497,426,284,25205,-130,1177251,1176399,1623,771,509922,1176958,-1176692,156517725,1176766,1176884,-69432675,1176898,1176752,85908225,1177180,1176470,417772875,1243210,-1110440,1270,1124,87381,1177020,1176630,1092276,1092394,-64447765,96579,195,78,85,9940,6035,-70623,12,1351,3,1337,167580,923,71,211722,211,6461,5609,2570910,1623,-771,509922,6216,5854,6175,5895,844900,5976,-6094,-356065,1337,189,-1057,167580,6066,6004,6046,6024,6105,5965,422450,6230,5840,-4189,25205,71,355,1138,-1256,156,14,38,141,1,4970,1323,64,174,154,43,92,7,362,-348,45,266,462,931,99,92,38,71,174,66,7,154,43,19,133,181,355,130,70,4,24,189,195,0
1985789952,796,120,67,-159,687,109,72,40,10,2109,-43,1472,9879552,55,229,1308,1081344,407552,,214,183,8244,171,70308,336,28,1966080,-329,272160,201,-1926,1296,11255808,177,22,-578,40,16,24,3064,1805328,2104,1041168,10512,5976,18697392,-2427,-360612,2225,-2311,-97524,2335,-2201,2439,-2097,387828,2299,2237,2148,2469,-2067,455868,2905,-1313,1678764,1308,1199,175,351744,-555,9880348,9878756,2905,1313,1678764,9879723,-9879381,1689403392,9879509,9879595,-424820736,9879619,9879485,661929984,9880239,9878865,,10960896,-8798208,2176,2042,141303,9879753,9879351,11255765,11255851,-483999744,151956,201,121,96,93696,49152,-90687,469,2388,2,2292,385947,2104,512,1041168,695,49948,48356,39124992,2905,-1313,1678764,49381,48923,49335,48969,8994816,49109,-49195,-2113536,2292,189,-1926,385947,49192,49112,49174,49130,49224,49080,3538944,49353,48951,-22016,74883,512,284,2066,-2152,608,-416,52,584,440,36864,2268,97,182,216,31,108,12,699,-675,64,624,660,2052,120,108,52,109,182,55,12,216,31,24,171,229,687,214,72,10,28,189,201,0
-1878601728,936,16,51,-160,838,98,82,49,4,580,-43,-196,-10209792,47,263,392,-443904,-509184,,222,168,3352,164,20720,68,17,-2718912,712,11840,189,-412,424,-14593344,181,8,-740,21,13,26,1676,692640,1328,366912,4092,2612,2480480,-900,-118400,697,-783,-31820,791,-689,904,-576,121360,768,712,724,924,-556,136160,1516,356,542880,392,294,1382,-455872,501,-10208856,-10210728,1516,-356,542880,-10209628,10209956,-1674405888,-10209835,-10209749,439021056,-10209741,-10209843,-520699392,-10208954,-10210630,,-10653696,9765888,631,529,29580,-10209608,-10209976,-14593387,-14593301,627513792,37740,184,102,102,-91392,-55488,-24940,-587,756,0,748,97440,1328,-544,366912,-376,-54552,-56424,-51936768,1516,356,542880,-55225,-55751,-55320,-55656,-9321984,-55531,55445,2385984,748,185,-412,97440,-55439,-55537,-55480,-55496,-55406,-55570,-4550016,-55304,-55672,23392,82124,-544,1480,537,-623,-442,646,53,-462,-626,-44608,740,94,154,237,28,106,4,842,-834,57,212,188,656,110,106,53,98,154,47,4,237,28,26,164,263,838,222,82,4,17,185,184,1
,412,19,93,-124,342,70,76,24,1,3410,-55,3122,11971638,74,180,1330,1266840,378216,,168,162,6498,143,155496,171,9,1520208,-756,67146,205,-3248,1672,11401560,167,20,-272,28,-10,19,3946,1456008,1742,547960,10032,2964,22963932,-3658,-438216,3479,-3589,-194370,3627,-3441,3677,-3391,505362,3578,3490,3515,3723,-3345,667926,3822,-2998,1404920,1330,1260,-576,313956,-973,11972050,11971226,3822,2998,1404920,11971781,-11971495,1711944234,11971583,11971693,-658440090,11971731,11971545,1113362334,11971980,11971296,,13238478,-10704798,3503,3317,317130,11971827,11971449,11401505,11401615,-627085800,328662,189,89,69,148716,63342,-187550,863,3553,18,3572,552420,1742,918,547960,1080,63754,62930,26096904,3822,-2998,1404920,63522,63162,63504,63180,10261404,63287,-63397,-3483810,3572,186,-3248,552420,63366,63318,63362,63322,63418,63266,4813992,63531,63153,-50490,23940,918,-506,3355,-3465,987,-849,43,994,842,69768,3534,51,177,152,44,88,19,361,-323,62,817,1406,2717,107,88,43,70,177,74,19,152,44,19,143,180,342,168,76,1,9,186,189,1
1536996864,618,130,70,-150,518,100,62,39,13,1830,-50,1362,7389408,60,202,1000,817098,236076,,178,170,5180,160,69300,80,8,1385514,-212,257400,208,-1660,1030,7176252,188,23,-418,18,-2,22,2598,1223640,1618,618000,7160,3200,10256400,-2130,-297000,1930,-2030,-99000,2050,-1910,2140,-1820,316800,2015,1945,1850,2188,-1772,411840,2448,-1212,1130940,1000,900,136,197876,-432,7390026,7388790,2448,1212,1130940,7389568,-7389248,1182305280,7389358,7389458,-369470400,7389478,7389338,517258560,7389926,7388890,,8206506,-6572310,1900,1760,128100,7389616,7389200,7176202,7176302,-358812600,138600,208,110,93,64940,35526,-91500,332,2110,-3,2000,311100,1618,382,618000,552,36144,34908,21955068,2448,-1212,1130940,35728,35324,35696,35356,6039420,35476,-35576,-1776300,2000,198,-1660,311100,35565,35487,35549,35503,35588,35464,2202612,35734,35318,-19100,51800,382,236,1780,-1880,475,-289,49,444,320,23684,1980,90,194,185,35,103,10,528,-508,59,490,600,1600,113,103,49,100,194,60,10,185,35,22,160,202,518,178,62,13,8,198,208,0
,439,588,187,-106,354,85,135,-2,12,9106,-89,8773,32863320,138,320,4165,10227870,1635714,,187,204,17346,155,396116,441,9,-335340,-3522,5416656,237,-8902,4606,53654400,139,61,-269,58,-40,19,9651,4044068,4604,1828435,26558,8134,159791352,-9318,-976472,9123,-9301,-819868,9399,-9025,9367,-9057,1427860,9255,9169,8624,9408,-9016,1805552,9545,-8667,3997534,4165,4080,-3372,1319004,-3815,32863759,32862881,9545,8667,3997534,32863475,-32863165,,32863231,32863409,,32863507,32863133,,32863674,32862966,,43091190,-22635450,9293,8919,1702822,32863516,32863124,53654311,53654489,,1722644,196,134,45,760104,167670,-810434,3637,9800,37,9310,1857624,4604,3726,1828435,3930,168109,167231,73607130,9545,-8667,3997534,167990,167350,167874,167466,34204680,167581,-167759,-14922630,9310,188,-8902,1857624,167668,167672,167731,167609,167805,167535,22635450,167866,167474,-331614,30090,3726,-3287,9017,-9195,3771,-3681,47,3861,3591,503010,9212,36,333,155,43,94,49,403,-305,96,2303,6762,7595,143,94,47,85,333,138,49,155,43,19,155,320,354,187,135,12,9,188,196,0
390661320,264,6,63,-119,200,64,65,29,1,1057,-51,912,1924440,57,138,384,66360,31680,508052160,123,131,1200,125,67032,138,23,274920,11,7056,202,-926,510,1308240,190,7,-136,29,17,17,1440,310464,648,101376,2376,24,1411200,-1295,-139944,1125,-1227,-59976,1239,-1113,1301,-1051,147000,1233,1119,1170,1379,-973,238728,1321,-793,279048,384,320,80,24000,-171,1924704,1924176,1321,793,279048,1924565,-1924315,240555000,1924389,1924491,-98146440,1924503,1924377,121239720,1924640,1924240,384888000,1990800,-1858080,1120,994,66591,1924643,1924237,1308189,1308291,-66720240,74088,203,70,79,15720,9480,-53907,69,1182,5,1188,138467,648,120,101376,251,9744,9216,2502720,1321,-793,279048,9618,9342,9611,9349,1241880,9429,-9531,-483480,1188,196,-926,138467,9509,9451,9487,9473,9545,9415,616200,9683,9277,-6120,12800,120,144,1006,-1108,199,-41,35,185,55,7800,1176,58,129,116,57,85,6,206,-194,41,210,342,750,91,85,35,64,129,57,6,116,57,17,125,138,200,123,65,1,23,196,203,0
1275418976,434,130,68,-141,349,85,74,37,13,1719,-48,1426,6474208,58,175,850,755872,180544,,186,161,3490,151,81840,70,7,1215968,-255,241800,196,-1558,890,5751200,176,23,-264,17,-3,19,2294,807240,1284,368900,5350,1630,6491400,-2001,-262260,1812,-1908,-89280,1928,-1792,2011,-1709,280860,1904,1816,1730,2057,-1663,366420,2153,-1285,746046,850,765,-67,145184,-464,6474642,6473774,2153,1285,746046,6474359,-6474057,977605408,6474160,6474256,-310761984,6474276,6474140,440246144,6474557,6473859,,7230080,-5718336,1787,1651,116892,6474405,6474011,5751152,5751248,-276057600,126480,197,95,79,66976,32864,-82512,368,1990,-3,1880,276759,1284,416,368900,577,33298,32430,14262976,2153,-1285,746046,33039,32689,33025,32703,5291104,32816,-32912,-1577472,1880,186,-1558,276759,32901,32827,32887,32841,32938,32790,2431936,33061,32667,-19968,29665,416,18,1671,-1767,495,-337,47,490,342,30784,1860,75,147,153,44,89,10,359,-339,57,470,580,1510,99,89,47,85,147,58,10,153,44,19,151,175,349,186,74,13,7,186,197,0
1424194596,731,90,72,-148,624,107,65,38,9,1802,-52,1219,6913566,62,222,1070,637659,247809,,168,168,6240,158,62400,320,32,1275318,-171,175500,205,-1634,1090,7450542,185,19,-517,42,22,23,2681,1425450,1801,782170,8190,4290,12168000,-2098,-288600,1898,-2002,-101400,2022,-1878,2108,-1792,308100,1982,1918,1860,2156,-1744,401700,2533,-1071,1317262,1070,963,285,211536,-391,6914297,6912835,2533,1071,1317262,6913724,-6913408,1092343428,6913514,6913618,-359505432,6913638,6913494,497776752,6914190,6912942,,7551225,-6275907,1874,1730,129744,6913772,6913360,7450490,7450594,-387428184,140400,206,117,99,56952,33561,-93704,287,2040,1,1970,302736,1801,339,782170,507,34292,32830,24533091,2533,-1071,1317262,33783,33339,33729,33393,5638248,33509,-33613,-1745172,1970,195,-1634,302736,33599,33523,33580,33542,33626,33496,2181465,33767,33355,-17628,66768,339,392,1750,-1854,438,-240,48,404,274,22035,1950,97,215,205,32,109,10,634,-614,58,480,620,1580,119,109,48,107,215,62,10,205,32,23,158,222,624,168,65,9,32,195,206,0
764910900,786,50,71,-163,686,100,74,44,5,1687,-51,1064,3922620,61,225,1000,301740,168204,,220,183,6860,173,57350,110,11,885104,-31,92500,195,-1504,1040,4526100,175,15,-586,21,1,24,2636,1454100,1786,786000,8710,5010,12691000,-2013,-301550,1799,-1901,-94350,1921,-1779,2023,-1677,320050,1881,1819,1800,2045,-1655,360750,2473,-901,1325982,1000,900,472,146804,-265,3923406,3921834,2473,901,1325982,3922793,-3922447,678613260,3922569,3922671,-200053620,3922691,3922549,278506020,3923306,3921934,,4224360,-3620880,1758,1616,119777,3922815,3922425,4526049,4526151,-230831100,131350,195,110,94,39162,20116,-86037,163,1900,5,1870,308721,1786,214,786000,397,20902,19330,15811176,2473,-901,1325982,20341,19891,20299,19933,3681228,20065,-20167,-1025916,1870,185,-1504,308721,20160,20072,20131,20101,20190,20042,1488584,20311,19921,-10914,68600,214,572,1636,-1738,308,-120,54,288,140,15836,1850,90,186,216,31,104,10,696,-676,64,540,610,1730,114,104,54,100,186,61,10,216,31,24,173,225,686,220,74,5,11,185,195,0
