"Var1","SAFE179","SAFE198","SAFE185","SAFE8","SAFE2","SAFE9","SAFE7","SAFE14","SAFE75","SAFE37","SAFE11","SAFE31","SAFE25","SAFE18","SAFE70","SAFE187","SAFE186","SAFE26","SAFE12","SAFE126","SAFE135","SAFE35","SAFE19","SAFE27","SAFE196","SAFE6","SAFE16","SAFE194","SAFE22","SAFE33","SAFE28","SAFE200","SAFE40","SAFE98","SAFE29","SAFE23","SAFE59","SAFE142","SAFE144","SAFE10","SAFE191","SAFE124","SAFE42","SAFE44","SAFE145","SAFE20","SAFE60","SAFE46","SAFE130","SAFE110","SAFE204","SAFE195","SAFE4","SAFE38","SAFE53","SAFE41","SAFE58","SAFE15","SAFE49","SAFE65","SAFE146","SAFE21","SAFE74","SAFE82","SAFE1","SAFE32","SAFE69","SAFE13","SAFE199","SAFE47","SAFE3","SAFE61","SAFE24","SAFE106","SAFE52","SAFE68","SAFE193","SAFE71","SAFE100","SAFE101","SAFE102","SAFE103","SAFE104","SAFE105","SAFE107","SAFE108","SAFE109","SAFE111","SAFE112","SAFE113","SAFE114","SAFE115","SAFE116","SAFE117","SAFE118","SAFE119","SAFE120","SAFE121","SAFE122","SAFE123","SAFE125","SAFE127","SAFE128","SAFE129","SAFE131","SAFE132","SAFE133","SAFE134","SAFE136","SAFE137","SAFE138","SAFE139","SAFE140","SAFE141","SAFE143","SAFE147","SAFE148","SAFE149","SAFE150","SAFE151","SAFE152","SAFE153","SAFE154","SAFE155","SAFE156","SAFE157","SAFE158","SAFE159","SAFE160","SAFE161","SAFE162","SAFE163","SAFE164","SAFE165","SAFE166","SAFE167","SAFE168","SAFE169","SAFE17","SAFE170","SAFE171","SAFE172","SAFE173","SAFE174","SAFE175","SAFE176","SAFE177","SAFE178","SAFE180","SAFE181","SAFE182","SAFE183","SAFE184","SAFE188","SAFE189","SAFE190","SAFE192","SAFE197","SAFE201","SAFE202","SAFE203","SAFE205","SAFE30","SAFE34","SAFE36","SAFE39","SAFE43","SAFE45","SAFE48","SAFE5","SAFE50","SAFE51","SAFE54","SAFE55","SAFE56","SAFE57","SAFE62","SAFE63","SAFE64","SAFE66","SAFE67","SAFE72","SAFE73","SAFE76","SAFE77","SAFE78","SAFE79","SAFE80","SAFE81","SAFE83","SAFE84","SAFE85","SAFE86","SAFE87","SAFE88","SAFE89","SAFE90","SAFE91","SAFE92","SAFE93","SAFE94","SAFE95","SAFE96","SAFE97","SAFE99"
"A",0,0,-0.68,0,0,0,-0.68,0,9,0,0,0.68,0,-0.68,0,0,-0.68,0.68,0,0,0,0.68,0,0,0,9,0,-9,0,0,0,0,0,9,0,0,0,9,0,0,0.68,0,0.68,0,0,0,0,0,0,0,0,9,0,0,0,0.237,1.8,0,0,0,0,1.8,0,0,0,-9,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,9,0,-0.68,0,0,0,0,36,0,9,0,0,36,0,0,0,0,0,0,9,0,0,0,0,0,0,0,-9,0,36,0,-1.8,9,0,0,0,0,0,0,0,0,0,-0.68,0.68,0,0,0,0,0,0,-0.68,0.68,0,-0.68,0,0,0,0,0,-0.68,0.68,0,1.8,0,0,0,0,0.68,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,9,9,0,0,36,0,0,1.8,0,0,9,0,0,0,1.8,0,0
"B",-18.876307554422,13.681475445578,-37.494668,0.91,-3.178,0,0.241,0,23.492462,20.426919,0,0,0.241,0.482,0,0,37.494668,0,-0.382949,-1.448313118,0,4.58,0,0,-390.836622473574,26,0.21931,-2.373639554422,0.911462,-0.241,-0.669,18.618360445578,0,26.241,0,0,-1.589,24.411,1.151,-1.348,18.618360445578,19.515457,0.241,0,6.266,0,0.241,0,39.317592,0.91,-18.618360445578,39.610360445578,-0.918538,1.392,0,0.12,3.3,0,0,0,0,4.023,0,0,18.618360445578,-20.992,0.241,0.911462,91.9167044083674,84.518,-37.494668,-1.83,47.58,0,0,4.936885,0,20.485,0.91,0.241,0.241,0,0,0,0,0,0,0,0,0,0,0,0,2.741462,1.66797546,0.677538,1.448313118,-21.669538,20.581723422,21.338381,-0.677538,0.482,-2.46684,24.17,-35.00572806206,0.911462,0,0.241,0,0.241,85.241,0,22.581,0.853381,0,84.759,-1.589,1.151,0,0.241,0.241,0,27.83,0.44103,0,0,0,0,0.241,0,-23.929,5.82497,85,0.44103,-3.541,22.34,22.315,-18.655,1.83,20.726,20.244,0.058081,0,-0.241,0,18.859360445578,18.377360445578,4.4870248673843,56.113028445578,-698.089243611279,17.029360445578,20.207360445578,-29.5845747480234,18.618360445578,18.618360445578,0,18.618360445578,23.555245445578,18.618360445578,0,18.618360445578,0,0,0.911462,2.071,3.782,0,1.151,2.071,35.881209,0,22.822,0.277391,2.500462,1.589,0,0.91,-38.40613,2.500462,0.911462,-0.91,5.442021,37.48755,0,0.241,0,3.782,0,24.17,25.759,0,1.589,85,0,0,3.782,0,1.83,25.759,0,0.91,1.83,3.541,0.241,0.241
"C",-245.76,0,-245.76,0.53,-6.4,0,0,0,73.6,0,0,0,0.071,0,0,0,245.76,0,0,0,0,1.78,0.071,0.53,0,80,0,-70.4,0,0,0,0,0.35,80,0.17,0,-3.2,76.8,0,-3.2,0,0,0,0,0,0,0,0.17,245.76,0,0,70.4,-3.2,0,0,0.143,2.464,0,0.17,0,0,2.464,0.17,0,0,-70.4,0,0,0,244,-245.76,-3.2,256,0.35,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,3.2,0,3.2,0,-73.6,0,0,-3.2,0,-10.24,76.8,0,0,0,0,0,0,244,0,73.6,0,0,244,-3.2,0,0,0,0,0,83.2,0,0,0,0,0,0,0,-76.8,0,244,0,-2.464,73.6,3.2,3.2,3.2,0,0,0,0,0.071,0,0,0,0,245.76,0,-3.2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,3.2,2.464,0,0,3.2,235.52,0,73.6,0,3.2,3.2,0,0,-245.76,3.2,0,0,0,0,0,0,0,2.464,0,76.8,80,0,3.2,244,0,0,2.464,0,3.2,80,0,0,3.2,2.464,0,0
"D",339.57940712157,230.79112412157,34.91523,0,0.942,0.29,0.471,0,72.41623,156.621159,0,0,0.51,0.942,0,0,-34.91523,0,0.221841,0.91620333,0,0.59,0.039,0,-21613.4860533584,70,0.13659,233.72217712157,1.94523,-0.181,0.181,304.95417712157,0,70.471,0.29,0,0.471,70.471,0.761,0.942,304.66417712157,154.675929,0.471,0,32.97,0,0.761,0,-31.02477,0,-304.66417712157,375.60617712157,1.94523,1.232,0,0.235,3.188,0,0,0.13659,0.29,4.601,0,0,304.66417712157,-70.942,0.471,1.94523,22506.4729037031,332.058,34.91523,0,0,0.59,0,73.873053,0,156.843,0.29,0.471,0.471,0,0,0,0,0,0,0,0,0,0,0,0,1.94523,0,-2.41623,-0.91620333,-68.52577,137.08230333,158.566389,2.41623,0.942,0,70,64.1342331,1.94523,0,0.471,0,0.471,333.471,0,70.471,1.723389,0.29,332.529,0.471,0.761,0,0.471,0.471,0,70,0,0,0,0,0,0.471,0,-69.529,32.97,333,0,-3.659,70,156.843,-156.843,0,157.314,156.372,0.221841,0,-0.432,0.018369,305.13517712157,304.19317712157,143.496827424259,269.74894712157,10637.4198169604,305.13517712157,304.19317712157,143.496827424259,304.66417712157,304.66417712157,0,304.66417712157,378.53723012157,304.37417712157,88.3526113652553,304.66417712157,0,0,1.94523,0.471,4.13,0,0.761,0.471,-33.191841,1.47,70.942,0.358431,1.47423,-0.471,0,0,32.97,1.47423,1.94523,-0.29,33.191841,0,0,0.471,0,4.13,0,70,69.529,0,-0.471,333,0,0.039,4.13,0,0,69.529,0,0,0,3.659,0.471,0.471
"E",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,-5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14.28,5,0,0,14.28,0,1.8,0,0,0,0,1.8,0,0,0,-5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,5,0,0,0,0,0,0,9,0,5,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-5,0,9,0,-1.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,0,0,0,0,1.8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,5,5,0,0,9,0,0,1.8,0,0,5,0,0,0,1.8,0,0
"F",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,1.81,0,5,0,-5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.615,1.388,0,0,0,0,1.388,0,0,0,-5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,5,0,0,0,0,0,0,25,0,5,0,0,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-5,0,25,0,-1.388,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388,0,5,5,0,0,25,0,0,1.388,0,0,5,0,0,0,1.388,0,0
"G",26.496074890266,22.871893890266,-11.420114,0,-1.026,0,-1.513,0,21.839886,26.547831,0,2,0.487,-1.026,0,18.840228,7.420114,1,-0.249831,-0.694030518,0,0,0,1,-717.389956894173,22,0,15.942188890266,1.352886,-0.487,0.487,35.916188890266,0,22.487,0,0,-0.513,21.487,0.487,-0.0259999999999999,36.916188890266,25.194945,2.487,0,10.714,0,0.487,0,12.125886,0,-35.916188890266,55.890188890266,0.352886,0.974,0,0.324,1.804,0,0,0,0,3.265,0,0,35.916188890266,-19.974,0.487,1.352886,468.501363160353,54.026,-9.420114,-1,22,1,0,13.044295,35.916188890266,26.785,0,0.487,0.487,1,0,1,0,0,1,0,0,0,0,0,0,2.352886,1.352886,-0.839886,0.694030518,-19.134114,27.716575482,27.900717,0.839886,0.974,-0.0259999999999999,21,-14.574640878,-0.647114,2.705772,0.487,1,0.487,55.487,0,20.487,1.115717,0,54.513,-0.513,0.487,0,0.487,0.487,0,23,0.487,0,0,0,0.974,0.487,0,-20.513,10.227,55,0.487,-2.291,20,27.785,-25.785,1,27.272,26.298,-0.736831,0,-0.487,0,34.403188890266,37.429188890266,-54.3411937909725,45.336302890266,-338.334593791839,35.403188890266,36.429188890266,-18.4250049007065,33.916188890266,37.916188890266,-71.832377780532,34.916188890266,48.960483890266,35.916188890266,0,35.916188890266,0,-2,3.352886,1.487,2.778,0,0.487,1.487,10.509831,1,20.974,0.237169,1.865886,0.513,0,1,-10.773,1.865886,1.352886,0,9.977169,26.785,0,0.487,0,2.778,0,21,21.513,0,0.513,55,0,0,2.778,0,1,21.513,0,0,1,2.291,0.487,0.487
"H",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,8,0,-8,0,0,0,0,0,8,0.64,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2.275,0,0,0,0,2.275,0,0,0,-8,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,8,0,0,0,0,0,0,91,0,8,0,0,91,0,0,0,0,0,0,8,0,0,0,0,0,0,0,-8,0,91,0,-2.275,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.275,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.275,0,8,8,0,0,91,0,0,2.275,0,0,8,0,0,0,2.275,0,0
"I",0,0,-2.77,0,0,1.38,-2.77,0,9,0,0,2.77,0,-2.77,0,0,-2.77,1.38,0,0,0,0,0,0,0,9,0,-9,0,0,0,1.38,0,9,1.38,0,0,9,0,0,1.38,0,2.77,0,0,0,0,0,0,0,0,9,0,0,0,0,1.666,0,0,0,0,1.666,0,0,0,-9,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,0,0,-9,0,0,0,0,0,9,0,-2.77,0,0,0,0,35,0,9,0,0,35,0,0,0,0,0,0,9,0,0,0,0,0,0,0,-9,0,35,0,-1.666,9,0,0,0,0,0,0,0,0,0,-2.77,2.77,0,0,0,0,0,0,-2.77,2.77,0,-1.38,0,-1.38,0,0,0,-2.77,2.77,0,1.666,0,0,0,0,1.38,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666,0,9,9,0,0,35,0,0,1.666,0,0,9,0,0,0,1.666,0,0
"J",518.195938159592,372.456695159592,32.754768,0.12,1.041,0,0.37,0,86.225768,261.487519,0,0,0.551,0.921,0,-5.961374008,-33.116768,0,0.20387,0.68663416,0,0.38,0,0.12,-41267.0101305419,84,0.4699,400.219170159592,1.855768,1.489,-0.9,485.260170159592,0.12,84.37,0,0,0.37,84.431,1.52,0.921,485.260170159592,259.631751,0.37,0.02257,31.08,0,2.591,0,-29.224232,0.12,-484.370170159592,570.301170159592,1.975768,2.071,0.89,0.185,2.508,0,0.12,1.12404,0.12,3.919,0.12,0.25,485.260170159592,-85.041,0.309,1.855768,54739.0334730933,474.018,32.935768,-0.181,0,1.15,0.12,112.803475,0,204.725,1.27,0.37,0.431,0,0,0,1.15,0,0,0,0,0,0,0,0,1.735768,-0.22269216,-2.526768,-1.245220328,-82.514232,156.57114616,263.343287,2.225768,0.801,-0.11052,83.699,57.67726944,1.855768,0,0.25,0,0.311,475.431,0,84.37,1.06486,2.04,474.569,0.37,1.64,0,0.551,0.37,0,84,0,0.0444,0.12,0,0,0.431,0.1968,-83.569,36.204,475.12,-0.06612,-2.817,83.819,204.605,-204.845,-0.12,205.276,204.174,0.20387,0.061,-0.551,0,485.630170159592,484.890170159592,179.546262959049,452.324402159592,15982.4163840168,485.630170159592,484.890170159592,179.546262959049,485.079170159592,485.441170159592,-87.8320907988861,485.260170159592,598.063645159592,485.260170159592,0,486.150170159592,431.881551442037,-0.181,1.855768,0.431,3.368,0.12,1.76,0.37,-56.61227,2.81,84.921,0.70684,1.184768,-0.671,0,0,31.08,1.485768,1.855768,-1.209,46.48787,-24.567,0,0.431,0.05172,3.248,0,84,83.63,0.12,-0.37,475,0,0,3.128,0.38976,0.12,83.63,0,0,0,2.878,0.37,0.49
