V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Label
29,3,2,2,0,4.53,0,0,0,13,1,1.26,2,-1,0,3,1
55,7,1,1,0,0.0,0,0,0,22,10,1.02,1,106,1,0,1
56,7,0,1,0,9.35,0,0,0,2,6,1.36,1,96,3,0,1
47,3,2,2,0,32.32,0,0,1,6,10,5.41,1,204,3,0,1
39,9,1,2,0,5.08,0,0,0,2,9,1.54,3,-1,0,3,1
36,9,2,2,0,3.06,0,0,0,14,1,1.11,2,-1,0,3,1
33,4,2,2,0,68.07,0,0,0,20,0,1.63,1,-1,0,3,2
36,4,1,2,0,6.69,0,0,2,9,6,0.91,1,-1,0,3,1
52,5,1,1,0,19.56,0,0,2,6,6,3.84,2,-1,0,3,1
53,4,1,2,0,6.94,0,0,2,18,6,1.3,6,-1,0,3,1
46,4,0,2,0,7.43,0,0,2,5,6,0.36,2,-1,0,3,1
57,3,1,0,0,27.85,0,0,0,11,1,6.1,4,-1,0,3,2
51,1,0,1,0,10.69,1,0,2,30,8,2.47,2,-1,0,3,1
33,8,2,2,0,2.54,1,0,2,29,8,5.58,13,-1,0,3,1
37,1,1,1,0,4.17,0,0,0,31,5,12.12,5,-1,0,3,1
55,1,0,0,0,0.39,1,0,2,13,8,3.43,1,-1,0,3,1
41,7,2,1,0,-6.75,1,1,0,18,7,1.47,4,-1,0,3,2
42,1,1,1,0,15.98,1,1,0,16,0,14.63,2,-1,0,3,2
31,1,1,1,0,2.55,1,1,0,18,8,2.95,1,-1,0,3,1
33,9,1,1,0,47.9,1,0,0,20,0,1.37,1,272,2,0,1
47,4,1,2,0,0.6,0,0,2,2,6,2.82,7,-1,0,3,1
44,4,1,2,0,62.03,1,1,2,13,8,1.29,1,-1,0,3,1
36,9,1,2,0,-2.9,1,1,0,29,4,1.5,1,189,3,0,1
53,1,1,1,0,20.47,0,0,1,30,5,3.42,6,-1,0,3,1
33,1,1,1,0,-2.53,1,0,0,12,8,0.89,3,-1,0,3,1
58,2,1,2,0,8.53,0,0,2,5,6,11.49,2,-1,0,3,2
30,9,2,2,0,16.46,0,0,0,12,10,2.51,3,98,6,1,1
65,5,0,3,0,3.0,0,0,0,2,1,2.45,2,-1,0,3,1
36,9,2,1,0,16.15,1,0,0,11,8,6.22,1,-1,0,3,1
48,9,1,1,0,11.52,1,0,0,21,5,1.68,5,-1,0,3,1
36,1,1,1,0,7.53,1,0,2,12,6,3.51,1,-1,0,3,1
28,1,1,1,0,-1.85,1,1,2,13,8,1.7,1,-1,0,3,1
42,6,2,1,0,4.29,0,0,0,28,4,0.96,2,-1,0,3,1
29,4,2,2,0,12.18,0,0,0,30,4,2.58,2,-1,0,3,1
34,4,1,2,0,0.11,1,0,0,18,9,1.23,1,124,1,0,1
58,3,1,0,0,9.35,1,0,2,6,6,2.72,2,-1,0,3,1
60,5,1,2,0,34.61,0,0,0,26,8,0.94,2,112,2,0,1
56,4,1,1,0,15.6,1,0,0,9,5,0.89,1,-1,0,3,1
35,7,0,1,0,3.94,1,0,2,23,8,1.54,1,-1,0,3,1
45,9,1,2,0,23.59,0,0,0,18,1,1.99,7,-1,0,3,1
33,4,2,2,0,19.98,0,0,0,19,9,5.7,1,-1,0,3,1
44,4,2,2,0,38.12,0,0,0,20,9,1.72,2,-1,0,3,1
